subject,7-up,7-down,GAD-7,BIS,BAS,SHAPS,PSWQ,Acc,Pts,WS,LS,Pers,beta,eta_p,eta_n,kappa,gad7_q01,gad7_q02,gad7_q03,gad7_q04,gad7_q05,gad7_q06,gad7_q07,gad7_q08,gad7_rt,7u7d_q01,7u7d_q02,7u7d_q03,7u7d_q04,7u7d_q05,7u7d_q06,7u7d_q07,7u7d_q08,7u7d_q09,7u7d_q10,7u7d_q11,7u7d_q12,7u7d_q13,7u7d_q14,7u7d_q15,7u7d_rt,bisbas_q01,bisbas_q02,bisbas_q03,bisbas_q04,bisbas_q05,bisbas_q06,bisbas_q07,bisbas_q08,bisbas_q09,bisbas_q10,bisbas_q11,bisbas_q12,bisbas_q13,bisbas_rt,pswq_q01,pswq_q02,pswq_q03,pswq_rt,shaps_q01,shaps_q02,shaps_q03,shaps_q04,shaps_q05,shaps_q06,shaps_q07,shaps_q08,shaps_q09,shaps_q10,shaps_q11,shaps_q12,shaps_q13,shaps_q14,shaps_q15,shaps_rt
5vfsoys60vdnkpwg6eycknxs,8,4,3,5,11,8,7,0.7444444444444445,60.0,1.0,0.3333333333333333,0.1866666666666666,8.508154999999999,0.8431445,0.5021515,0.2534706116720781,1,0,0,1,0,1,0,0,24.621,1,1,1,1,0,0,2,2,1,0,1,1,1,0,0,83.154,1,1,2,1,1,1,1,1,2,1,2,2,3,33.176,2,3,2,7.338,1,0,1,0,1,1,1,0,1,0,1,0,1,0,3,39.921
5vlapy2kltynt6q6usdmw53x,14,12,13,8,13,4,10,0.4222222222222222,46.0,0.7555555555555555,0.7272727272727273,0.2933333333333333,2.00892,0.646992,0.9635555,-0.1965564505238125,2,3,2,2,1,2,1,0,21.49,2,1,2,2,2,2,2,1,2,2,2,2,3,1,0,97.435,1,3,2,2,1,2,1,1,2,2,1,3,3,53.066,3,3,4,13.684,0,0,1,0,1,0,1,1,0,0,0,0,0,0,3,48.513
65z4s3erqhtq0y32l4ud5c77,3,4,3,6,17,10,6,0.7666666666666667,62.0,1.0,0.3571428571428571,0.1866666666666666,10.8042,0.894344,0.486142,0.2956944148654893,1,0,1,1,0,0,0,0,33.203,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,112.714,2,1,2,1,1,2,2,2,3,2,2,3,3,45.188,2,2,2,8.053,1,0,1,0,0,1,1,1,1,0,1,1,1,1,3,59.926
6anblbfay00uf1lrjuvta75s,10,11,10,8,19,9,2,0.6111111111111112,51.0,0.96,0.7692307692307692,0.16,2.9227100000000004,0.872681,0.9672375,-0.051391678490107,2,2,1,1,1,1,2,0,71.312,0,2,1,1,2,2,2,2,1,2,2,1,2,1,1,80.897,1,2,3,2,3,2,3,2,2,3,2,2,2,49.529,1,1,0,36.723,1,0,1,1,1,1,0,1,1,0,1,0,1,0,3,74.948
6ddzcn9af3ba6dv3c91n5enx,6,0,0,9,8,2,1,0.4444444444444444,41.0,0.675,0.7959183673469388,0.36,1.80374,0.833259,0.7719689999999999,0.0381814919749718,0,0,0,0,0,0,0,0,14.895,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,79.702,3,2,2,2,1,1,1,1,1,1,1,1,3,40.224,0,1,0,5.901,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,42.063
6ebn8yjdbepfbi3vshim0fa4,4,11,14,6,22,14,11,0.4444444444444444,51.0,0.4509803921568627,0.8421052631578947,0.24,1.216315,0.844805,0.704691,0.0904255319148936,3,2,2,2,1,3,1,0,36.261,1,2,1,0,2,0,1,0,1,2,2,1,1,1,0,130.618,2,1,2,1,3,2,2,3,3,3,3,3,3,57.167,3,4,4,12.847,1,2,2,0,0,1,1,1,2,0,1,1,1,1,3,562.216
6g0smxt28qc8rof31hj311l7,10,10,7,7,15,9,9,0.6777777777777778,50.0,0.98,0.5641025641025641,0.1866666666666666,7.553755,0.523598,0.927257,-0.2782214625169296,1,1,1,1,1,1,1,0,12.197,2,2,1,2,1,1,2,1,1,2,1,2,1,1,0,33.129,2,2,2,1,2,2,1,2,2,2,2,2,3,21.472,3,3,3,4.198,0,1,0,0,1,1,1,0,1,1,1,0,1,1,2,42.268
6kf2nrcsp1vlkc4ognfrvlg6,10,4,10,6,14,6,10,0.5555555555555556,47.0,0.9130434782608696,0.7209302325581395,0.1466666666666666,5.46649,0.2597695,0.9901565,-0.5843441931762361,2,2,1,2,1,1,1,0,25.536,1,0,2,2,0,2,0,1,1,2,1,0,2,0,0,69.106,1,2,1,2,2,1,1,2,2,2,2,2,3,24.988,4,3,3,6.939,0,0,1,0,0,1,0,1,0,1,0,0,1,1,3,188.927
6o83uqmv0frbft9n0ojoh68u,9,8,6,14,17,14,6,0.4666666666666667,42.0,0.4761904761904761,0.9574468085106383,0.2666666666666666,4.2537,0.0630544,0.7262565000000001,-0.8402292430017121,0,1,0,0,2,1,2,1,26.551,2,0,1,2,1,0,1,3,1,1,2,2,0,1,2,73.488,4,2,4,4,3,2,1,2,1,2,3,3,1,34.992,2,1,3,13.03,2,1,3,0,2,1,0,1,2,0,0,1,1,0,2,61.483
6tsrpsayz54lw11oc7xqro8j,14,6,5,9,13,5,0,0.5111111111111111,40.0,0.7948717948717948,0.84,0.2533333333333333,2.9773050000000003,0.6446164999999999,0.975569,-0.2042682766880706,1,0,1,1,2,0,0,0,46.677,2,0,2,3,1,1,2,2,2,1,1,0,2,1,0,104.145,1,1,4,3,2,1,1,1,2,2,1,3,3,141.902,0,0,0,12.641,0,0,1,1,0,1,0,0,0,0,0,1,0,1,2,59.773
6u3el0wrisrdbl98ibq0opof,8,0,0,10,8,0,10,0.6,49.0,0.9591836734693876,0.975,0.2133333333333333,4.83417,0.746631,0.957435,-0.1237064761576136,0,0,0,0,0,0,0,0,11.28,1,0,1,1,0,1,3,1,0,0,0,0,0,0,0,112.967,1,4,4,1,1,1,1,1,1,1,1,1,3,54.917,4,2,4,9.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25.381
6ueltttfobtmc33ejn29z66s,6,7,2,8,19,13,5,0.6555555555555556,56.0,0.8545454545454545,0.7647058823529411,0.1733333333333333,3.173315,0.6110895000000001,0.897868,-0.1900507469560938,1,0,0,0,0,1,0,0,44.535,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,126.114,2,2,2,2,2,1,2,3,3,2,3,3,3,77.629,3,1,1,12.936,1,1,1,1,1,1,1,1,1,0,1,1,1,1,3,77.039
6xcrpdfmw33oggfcpop84jjc,7,12,16,8,26,9,3,0.6,57.0,1.0,0.3636363636363636,0.2933333333333333,18.2876,0.8072630000000001,0.751935,0.0354849095496531,3,3,3,3,0,1,3,0,23.62,3,3,0,0,0,3,1,0,1,2,2,2,0,2,0,119.536,3,2,1,2,3,2,2,4,4,3,4,4,3,54.996,1,1,1,15.274,1,0,2,1,0,0,0,1,2,1,1,0,0,0,3,63.712
71r198qbputz56vycr57vwrj,0,5,1,8,20,4,6,0.6111111111111112,49.0,1.0,0.55,0.24,7.669575,0.7744960000000001,0.3918795,0.3280388691291956,0,0,1,0,0,0,0,0,19.067,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,118.64,2,3,2,1,2,2,1,3,3,3,3,3,3,43.525,2,2,2,8.552,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3,53.823
77drfp2k71bu1i898kgrkloj,7,6,10,8,21,15,4,0.6555555555555556,48.0,0.9787234042553192,0.5238095238095238,0.2533333333333333,8.419875000000001,0.4971355,0.7671509999999999,-0.2135714491928846,2,2,2,2,0,2,0,0,388.838,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,100.051,2,2,2,2,2,3,2,2,3,3,3,3,3,50.685,1,1,2,16.269,1,1,2,1,1,2,0,2,1,0,1,1,0,2,3,80.095
79wkgbbalgknlalvcbuej04n,5,3,0,9,17,3,3,0.3777777777777777,31.0,1.0,0.3448275862068966,0.3466666666666667,4.46481,0.926753,0.9140975,0.0068748113983182,0,0,0,0,0,0,0,0,22.206,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,119.509,2,3,2,2,2,2,2,2,2,2,3,2,3,50.305,1,1,1,12.785,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,57.116
7c2n6irhszcuommpxijsqo0m,3,5,8,8,13,7,5,0.5,46.0,0.6444444444444445,0.931818181818182,0.2666666666666666,1.725205,0.7678415000000001,0.903985,-0.0814339885149565,2,1,1,2,0,1,1,0,22.231,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,138.207,2,2,2,2,1,1,1,1,1,2,3,3,3,53.592,1,2,2,8.303,1,1,0,0,0,0,1,1,1,1,0,0,0,1,2,43.616
7ezim729gp6n5w6uep9hptuu,8,1,0,7,11,1,2,0.6222222222222222,53.0,0.9807692307692308,0.5675675675675675,0.1466666666666666,5.286265,0.919562,0.9818365,-0.032751945475922,0,0,0,0,0,0,0,0,29.062,1,1,1,1,0,1,1,2,0,0,0,0,1,0,0,212.565,2,2,2,1,1,1,1,2,1,1,1,3,3,116.984,1,1,0,20.419,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,100.241
7onu45df12zkrxfc750nn4sa,4,0,5,7,17,7,6,0.5666666666666667,50.0,0.9591836734693876,0.75,0.2533333333333333,8.479595,0.3934879999999999,0.8563540000000001,-0.3703396109268212,1,0,1,1,1,1,0,0,34.171,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,137.837,2,2,1,2,2,2,1,2,2,3,2,3,3,130.447,2,2,2,12.694,0,0,0,1,1,0,0,1,1,0,1,1,0,1,3,64.609
7sw6swyfiqm06ookrrxv1ejk,7,0,0,7,15,9,0,0.3222222222222222,30.0,0.6666666666666666,0.6949152542372881,0.2933333333333333,1.1457,0.577635,0.663359,-0.0690768851420716,0,0,0,0,0,0,0,0,27.86,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,615.478,2,2,1,2,1,1,1,2,2,3,2,3,3,128.786,0,0,0,11.211,0,0,0,1,1,1,0,1,1,1,1,1,0,1,2,116.356
8268uvon5c4wg6cqy7jsgya1,0,1,1,8,16,7,2,0.7555555555555555,58.0,1.0,0.46875,0.1866666666666666,16.997500000000002,0.5237005,0.6982695,-0.1428586626512925,0,0,0,0,0,1,0,0,24.586,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,126.555,2,2,3,1,1,1,2,1,2,3,2,4,3,66.751,1,1,0,14.285,0,1,0,0,0,0,1,1,1,1,0,0,1,1,2,69.741
84vog25x6i4fgbjucffyhd5p,6,9,2,8,18,17,7,0.5111111111111111,44.0,1.0,0.3913043478260869,0.2666666666666666,10.1903,0.79141,0.998458,-0.1156778041732686,1,1,0,0,0,0,0,0,33.787,1,1,1,1,2,1,1,0,1,2,1,1,1,1,0,84.24,2,2,2,2,2,2,1,2,3,3,3,2,3,79.839,3,2,2,15.184,1,1,1,1,1,2,2,1,1,1,1,2,1,1,3,62.309
8bis5casr4mjnn033kaxc4a9,0,16,12,4,23,25,11,0.8111111111111111,61.0,1.0,0.4482758620689655,0.1333333333333333,8.429875,0.877888,0.4973365,0.2767195465176776,3,1,3,2,0,3,0,0,14.658,0,0,0,0,3,0,0,0,3,3,3,3,0,1,0,91.964,1,1,1,1,3,2,3,3,3,3,3,3,2,45.264,4,3,4,9.345,1,2,1,1,1,1,2,2,3,1,3,2,3,2,3,47.877
8gms1x5mpu3zq71ytb9tjrss,1,0,0,16,13,0,0,0.5666666666666667,54.0,1.0,0.5,0.3733333333333333,15.43725,0.339385,0.5665155,-0.2507234514165737,0,0,0,0,0,0,0,0,34.885,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40.595,4,4,4,4,2,1,1,1,2,1,2,3,3,30.613,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37.243
8jsbtrhsjtr1f1g26cw3ybge,0,0,0,10,21,14,0,0.3333333333333333,37.0,0.1351351351351351,0.9230769230769232,0.3333333333333333,7.209065,0.00505264,0.6979595000000001,-0.9856257389808374,0,0,0,0,0,0,0,0,12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.092,3,3,2,2,2,2,2,3,3,3,3,3,2,35.291,0,0,0,4.752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,34.527
8lfe345vgkvurp8du9sfe3cu,2,2,6,4,16,9,9,0.7888888888888889,56.0,0.9821428571428572,0.5757575757575757,0.1066666666666666,9.729285,0.5745635,0.7873135,-0.1562182194133537,1,1,1,1,1,0,1,0,32.846,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,141.787,1,1,1,1,1,1,1,2,2,3,2,4,3,65.995,3,3,3,12.527,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,71.063
8mn0ti7z45rkqyclbp3bkuox,4,11,6,6,12,4,6,0.6111111111111112,53.0,1.0,0.4324324324324324,0.2,14.2709,0.89707,0.7861,0.0659291693649482,1,1,1,0,0,0,3,0,27.615,0,2,1,0,3,0,1,1,1,2,1,2,1,0,0,183.429,1,1,2,2,1,1,1,1,2,2,2,2,3,46.995,2,2,2,6.078,1,0,0,0,0,1,0,0,1,1,0,0,0,0,3,43.229
8p2ni1ijdad6gblaeiq7rgzi,4,9,14,8,17,19,9,0.7111111111111111,59.0,1.0,0.3548387096774194,0.2133333333333333,8.79941,0.785106,0.5597430000000001,0.1675749470758426,2,2,3,3,2,1,1,0,23.398,0,1,0,0,3,0,2,0,1,1,1,1,2,1,0,84.239,2,4,1,1,2,2,2,2,2,2,2,3,3,44.116,3,3,3,11.584,1,1,2,1,1,2,2,2,1,1,2,1,0,2,3,54.931
984rqmge2ibnb6ry6iy9u0zo,16,16,16,7,14,11,10,0.4666666666666667,42.0,0.7804878048780488,0.6875,0.2666666666666666,1.395785,0.944153,0.785468,0.091745532691844,2,2,3,3,1,3,2,2,12.257,2,3,2,2,3,1,3,3,2,2,1,2,3,3,1,21.195,2,1,3,1,1,1,3,2,2,2,1,2,2,28.642,4,3,3,9.258,2,1,0,1,0,0,0,1,0,1,1,1,1,2,2,24.353
9bx9aapx2af3ya9iqbfycexr,9,19,0,7,11,7,10,0.4777777777777778,49.0,0.4897959183673469,0.95,0.3066666666666666,7.767165,0.04418975,0.910027,-0.9073800580423682,0,0,0,0,0,0,0,0,20.808,0,3,2,0,3,2,1,2,2,3,3,2,2,3,1,63.345,1,2,2,2,1,1,2,1,1,1,2,2,2,22.336,3,4,3,6.495,0,0,1,1,1,1,0,1,1,0,0,1,0,0,3,63.025
9k89ceqjj2pul71i5uhx7kt5,5,3,5,10,17,5,4,0.7777777777777778,60.0,1.0,0.8666666666666667,0.12,11.9142,0.7803625000000001,0.9757245,-0.1112484745915208,1,0,1,1,0,2,0,0,45.812,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,117.048,3,2,3,2,2,2,1,2,2,2,3,3,3,73.211,2,1,1,20.009,1,1,0,0,0,1,0,0,1,0,1,0,0,0,3,45.983
9kzs2lfi4bmyk5xz03ck58ne,7,2,3,9,17,12,2,0.6222222222222222,55.0,0.8363636363636363,0.9705882352941176,0.1733333333333333,5.990625,0.42461,0.956868,-0.3852815607631827,0,0,0,0,1,1,1,0,25.995,0,0,1,1,1,0,3,2,1,0,0,0,0,0,0,109.087,2,3,3,1,2,2,2,2,2,2,2,3,3,62.095,1,1,0,10.012,1,1,0,0,0,1,2,0,1,1,1,1,2,1,3,55.116
9s73oel30gm6y0mvrbrhg5sl,1,7,2,8,16,7,5,0.6555555555555556,54.0,0.981132075471698,0.5555555555555556,0.16,4.594165,0.7076705,0.7475799999999999,-0.0274244880864153,0,0,0,1,0,1,0,0,26.341,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,118.669,3,2,1,2,1,1,2,1,3,3,2,3,2,55.421,1,3,1,11.861,1,1,2,0,0,1,0,0,1,0,1,0,0,0,3,42.846
9x3grmi9fq74uxr3ub097epz,1,0,4,6,17,14,5,0.7333333333333333,57.0,1.0,0.34375,0.2266666666666666,6.23485,0.8211215000000001,0.548855,0.1987380805437174,0,1,1,1,0,1,0,0,51.886,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54.302,1,3,1,1,2,2,1,2,3,2,2,3,2,40.97,2,2,1,6.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,30.347
a2v38wfhjdt19iwmixx5ubbn,7,0,4,7,13,5,4,0.7333333333333333,78.0,0.6363636363636364,0.25,0.1333333333333333,-3.020505,0.0102288,0.215127,-0.909220885373263,1,1,1,1,0,0,0,0,30.409,0,0,1,0,0,2,1,2,0,0,0,0,1,0,0,110.331,2,2,2,1,1,2,1,1,2,2,2,2,3,81.764,2,1,1,20.622,0,0,1,0,1,1,0,1,0,0,0,0,0,1,3,55.794
a4sq9uovavhzmy3ugpw14nes,6,0,2,5,13,4,2,0.5,50.0,1.0,0.3249999999999999,0.3066666666666666,11.33745,0.923026,0.5679000000000001,0.2381915668517417,0,0,1,0,0,0,1,0,67.741,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,121.077,1,1,2,1,1,1,1,2,2,2,2,2,3,50.625,2,0,0,70.328,0,0,0,0,0,0,1,2,1,0,0,0,0,0,3,50.833
acyid5qbf3sxlj6irj8rue2i,13,12,4,8,16,9,8,0.4333333333333333,33.0,0.6363636363636364,0.6428571428571428,0.32,1.90091,0.8643755,0.9040555,-0.0224379690245195,1,0,0,0,0,2,1,0,46.218,2,2,3,2,1,1,2,1,2,2,2,1,2,2,1,60.042,2,2,2,2,2,2,2,3,1,2,2,2,3,45.72,3,2,3,8.979,1,1,0,0,1,0,0,0,0,3,1,0,1,1,3,56.264
adledzgxw4grcbjza71kl0bz,4,6,7,8,19,3,7,0.6333333333333333,57.0,0.9821428571428572,0.7575757575757576,0.2,8.555215,0.6024775,0.9920005,-0.2442949981122348,1,2,1,1,1,0,1,0,66.832,1,1,1,1,1,0,0,0,1,1,2,0,1,0,0,235.19,1,3,3,1,2,1,2,2,3,3,3,3,3,157.066,3,2,2,30.479,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,137.38
aov6xe6od75nt5353uwbsp77,8,1,1,11,14,8,2,0.5666666666666667,42.0,0.951219512195122,0.5833333333333333,0.2533333333333333,7.22633,0.414265,0.977577,-0.4047240994308261,0,0,0,1,0,0,0,0,33.234,0,0,1,0,0,1,2,2,0,0,1,0,2,0,0,179.392,3,3,2,3,2,1,1,2,2,2,2,2,3,60.185,0,1,1,12.631,0,0,1,0,1,1,1,0,1,1,1,0,1,0,3,85.679
as4opn0p6i53xieis0t6eqgj,6,8,7,5,13,4,11,0.6111111111111112,56.0,0.9818181818181818,0.7941176470588236,0.1733333333333333,5.010345,0.8378615,0.9775465,-0.0769441359738416,1,1,2,1,0,1,1,0,28.679,2,1,1,0,1,1,1,0,1,2,1,1,1,1,0,253.642,1,2,1,1,1,2,2,2,1,1,1,3,3,59.944,4,3,4,8.737,1,0,0,0,1,0,1,1,0,0,0,0,0,0,3,48.723
avr04c4gt8kmeq5i2jiisiyh,5,1,2,12,10,5,3,0.6444444444444445,49.0,1.0,0.4146341463414634,0.2533333333333333,13.47435,0.7198025,0.6308765,0.0658379970370458,0,0,0,1,1,0,0,0,21.585,0,0,0,2,0,0,1,1,0,0,1,0,1,0,0,78.358,2,3,4,3,2,1,1,1,1,1,1,2,3,75.351,1,1,1,7.405,0,0,0,0,1,1,1,0,0,0,0,0,1,1,3,180.475
avuxpoyolfbqqsskoym8iwxk,8,4,2,8,14,2,2,0.5333333333333333,37.0,0.6486486486486487,0.4807692307692307,0.2666666666666666,2.1501,0.8467454999999999,0.428697,0.3277674218947541,1,0,1,0,0,0,0,0,17.853,1,1,2,1,0,1,1,1,1,0,1,1,1,0,0,73.033,2,3,2,1,1,1,1,1,3,2,2,3,3,38.79,1,1,0,18.244,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,26.633
aw52ysj006w4svfzx022ho6a,3,19,14,4,19,14,11,0.6888888888888889,62.0,1.0,0.9642857142857144,0.2,6.65958,0.8653785,0.965682,-0.0547789109098251,3,2,3,2,0,2,2,0,50.055,2,2,0,1,3,0,0,0,3,3,3,3,0,2,1,166.761,1,1,1,1,2,1,1,3,3,3,2,4,3,83.695,4,3,4,8.034,0,1,2,0,2,0,1,1,1,1,1,1,1,2,3,93.024
ayqvxud8iyhd449mhjpztndy,10,13,9,8,14,14,4,0.5888888888888889,51.0,0.94,0.5897435897435898,0.28,4.915685,0.4694455,0.9725005,-0.3488722878665359,2,1,1,2,0,2,1,0,27.445,0,1,2,1,2,1,2,2,2,2,3,2,2,1,0,122.374,2,1,3,2,2,1,1,1,2,2,2,3,3,87.978,1,2,1,8.852,1,1,0,1,0,0,1,1,2,1,3,1,0,2,3,73.661
b50ed6wgqvfuz39mn3dw9s5i,0,3,8,4,14,5,8,0.6777777777777778,59.0,1.0,0.2903225806451612,0.24,7.197625,0.8793124999999999,0.4628084999999999,0.3103326749227529,2,1,1,1,1,1,1,0,39.216,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,106.245,1,1,1,1,1,1,1,1,2,2,3,3,3,54.966,3,3,2,15.674,0,0,0,0,2,0,1,1,0,0,0,0,0,1,3,58.925
b6ntfmchp7gcv2hhdnmy8dcx,8,2,3,7,16,4,6,0.5111111111111111,41.0,1.0,0.6458333333333333,0.36,6.598315,0.8588155,0.9695755,-0.0605778523302728,0,0,1,0,1,1,0,0,24.226,1,0,1,2,1,1,1,1,1,0,0,0,1,0,0,95.192,2,2,2,1,1,2,1,1,3,2,2,4,3,64.964,2,2,2,12.515,0,0,1,0,1,0,0,1,1,0,0,0,0,0,3,40.189
bd1lnrnygthu88n7uhqouupu,4,3,4,5,11,0,3,0.6555555555555556,52.0,1.0,0.368421052631579,0.1733333333333333,14.08275,0.401441,0.830994,-0.348540085278331,1,0,1,1,0,1,0,0,39.481,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,102.057,1,2,1,1,1,1,1,1,2,2,1,2,3,58.092,1,1,1,10.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44.061
bgdbxmyihscd8j5yck7zpncx,5,5,5,6,20,5,5,0.4444444444444444,39.0,0.6578947368421053,0.6666666666666667,0.3333333333333333,1.901715,0.66866,0.566296,0.0828887830821503,1,1,1,0,0,1,1,0,40.281,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,170.556,2,1,1,2,2,2,1,2,3,3,3,4,3,103.591,2,2,1,23.676,1,0,1,0,0,0,1,1,1,0,0,0,0,0,3,88.071
bgdjjadiljq5gtg3zd419eif,0,7,0,8,16,4,4,0.6777777777777778,70.0,0.8405797101449275,0.4499999999999999,0.2133333333333333,3.41451,0.347317,0.340372,0.0100990418634004,0,0,0,0,0,0,0,0,16.332,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,98.006,2,3,1,2,2,2,2,2,2,2,2,2,3,61.266,2,1,1,10.87,0,0,0,0,1,1,0,1,0,0,1,0,0,0,3,47.65
bglkgiekgvpk66wserkvszvn,7,5,3,5,14,2,4,0.7222222222222222,61.0,1.0,0.9310344827586208,0.1733333333333333,10.57865,0.801428,0.9620865,-0.0911013206866175,1,0,1,0,0,1,0,0,21.51,1,1,1,2,1,1,1,1,1,1,0,1,0,0,0,88.583,1,2,1,1,2,1,1,2,2,2,2,2,3,43.785,1,2,1,6.768,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,35.416
bhoyosccpd9jwnfuwpgla7cg,6,2,0,12,16,24,4,0.3777777777777777,42.0,0.3170731707317073,0.75,0.28,0.4435135,0.09661395,0.360107,-0.5769235021953777,0,0,0,0,0,0,0,0,27.859,2,0,1,1,0,0,1,0,1,0,1,0,1,0,0,468.394,2,4,3,3,1,2,3,2,2,2,2,2,3,46.034,1,1,2,42.658,2,3,3,1,0,3,0,2,1,0,2,3,2,2,3,91.547
borpj9kwayuoawc2db7wbyxj,7,6,7,9,16,14,3,0.5777777777777777,49.0,0.8367346938775511,0.875,0.3066666666666666,5.242195,0.275152,0.7713319999999999,-0.4741400728534788,1,1,1,1,1,1,1,0,42.865,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,32.718,2,2,3,2,2,2,2,2,2,2,2,2,2,33.263,1,1,1,28.251,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,33.672
bpx7zoh3jy0thvu8qzq8lf0w,4,0,1,7,13,0,1,0.6555555555555556,57.0,0.9649122807017544,0.5625,0.1733333333333333,8.956890000000001,0.1372625,0.949683,-0.7474344389852112,0,0,0,0,0,1,0,0,14.742,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,80.067,1,2,2,2,1,1,1,2,2,2,2,2,3,51.018,1,0,0,7.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31.8
brbcu0xzd02uqsem1xrt52wr,5,0,0,5,16,1,1,0.7333333333333333,58.0,1.0,0.5,0.1733333333333333,7.617095,0.9259365,0.615759,0.2011924533735747,0,0,0,0,0,0,0,0,50.338,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,120.098,2,1,1,1,1,1,2,2,3,2,2,3,3,84.55,1,0,0,25.458,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,73.105
bzkr2dox2xt1y9h4s7wpssde,1,0,3,5,11,2,4,0.6555555555555556,54.0,1.0,0.9714285714285714,0.1733333333333333,10.87745,0.7711695000000001,0.986228,-0.1223732820833077,1,0,0,0,1,1,0,0,39.97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,82.404,1,1,2,1,1,1,1,1,2,1,2,2,3,71.948,2,1,1,10.98,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,59.132
c0vajovs4eeyqef7vqaq0ae3,9,15,12,6,19,24,11,0.5444444444444444,38.0,0.945945945945946,0.6730769230769231,0.32,5.86322,0.4995995,0.8703395,-0.2706251884207983,2,1,3,1,2,1,2,0,51.851,1,2,1,2,2,1,2,1,3,2,2,1,1,3,0,187.125,1,2,1,2,2,2,1,2,3,3,3,3,3,80.324,4,3,4,8.895,1,2,2,1,1,2,2,2,3,1,2,2,2,1,3,142.726
cdbeog6cjz4lt4fk2fsw9a6d,3,7,0,11,23,16,1,0.7111111111111111,55.0,1.0,0.2352941176470588,0.28,11.9312,0.273973,0.392254,-0.1775385866979272,0,0,0,0,0,0,0,0,27.02,0,1,0,0,2,0,1,1,0,0,2,1,1,1,0,149.528,2,3,3,3,3,2,3,3,3,3,3,3,3,83.079,1,0,0,14.111,1,1,1,0,1,2,2,1,1,1,1,2,1,1,3,69.835
cdx4de9mp88efzq0p2e2hq41,0,5,12,7,18,12,12,0.4666666666666667,36.0,0.75,0.679245283018868,0.3733333333333333,5.398285,0.2522135,0.853621,-0.5438494639116432,1,3,3,2,1,1,1,0,57.55,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,201.822,2,2,2,1,2,1,1,2,3,3,3,3,3,108.812,4,4,4,20.222,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,95.554
clbuh3a2585h6gnz793fuy9c,6,11,11,5,15,7,12,0.5555555555555556,54.0,0.5660377358490566,0.6388888888888888,0.2266666666666666,1.41478,0.6355815,0.840032,-0.1385528798699659,2,1,2,1,1,3,1,0,26.668,1,1,1,2,2,0,0,1,2,2,1,1,1,2,0,149.9,1,2,1,1,1,2,1,1,3,3,2,2,3,58.336,4,4,4,10.808,0,0,0,0,2,0,1,1,1,0,1,0,0,1,3,50.17
